census_tract_number,Walkability,Total Population,% 0 Vehicle HH,% 1 Vehicle HH,% 2+ Vehicle HH,% Low Wage Workers,Population Density,Employment Density,Pedestrian Network Density,Transit Frequency,state_x,county_x,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,state_y,county_y,life_expectancy,obesity
48439100400,14.83333333,821,0.113861386,0.247524752,0.638613861,0.236442516,8.284813189,1.402666301,21.6378779,21.50620447,Texas,Tarrant County,0,1,0,0,TX,Fort Worth,79.8,42.9
48439105800,13.16666667,1048,0.0,0.415841584,0.584158416,0.252906977,10.58626843,1.424297566,13.31868857,17.26127433,Texas,Tarrant County,0,1,0,0,TX,Fort Worth,77.5,40.7
48439104400,14.66666667,461,0.25,0.226190476,0.523809524,0.199115044,6.334020229,1.964782848,16.60825013,52.76060575,Texas,Tarrant County,0,1,0,0,TX,Fort Worth,77.1,36.4
48439111544,9.333333333,1338,0.0,0.054761905,0.945238095,0.222368421,9.078248025,1.160224523,19.21847561,-99999.0,Texas,Tarrant County,0,0,0,0,TX,Arlington,78.6,33.3
48439102302,9.0,941,0.062162162,0.310810811,0.627027027,0.25,6.514366185,1.356871171,13.86056261,-99999.0,Texas,Tarrant County,1,1,1,0,TX,Fort Worth,72.4,37.4
48439102601,17.5,584,0.098859316,0.479087452,0.422053232,0.230188679,4.095727245,6.950112499,19.21955757,27.16509684,Texas,Tarrant County,0,1,0,0,TX,Fort Worth,74.8,39.0
48439102700,14.83333333,1242,0.024489796,0.206122449,0.769387755,0.176470588,10.76162948,1.594315478,26.22913321,22.18178056,Texas,Tarrant County,0,0,0,0,TX,Fort Worth,77.9,27.7
48439114008,5.833333333,2137,0.0,0.075782537,0.924217463,0.187424426,2.843716954,0.011976347,8.284844841,-99999.0,Texas,Tarrant County,0,0,0,0,TX,Fort Worth,81.7,32.2
48439114007,4.166666667,2201,0.0,0.184782609,0.815217391,0.173434856,5.288425002,0.088901284,9.606679484,-99999.0,Texas,Tarrant County,0,0,0,0,TX,Fort Worth,78.6,29.5
48439114104,7.5,4488,0.017959184,0.124081633,0.857959184,0.160848431,0.821390505,0.252932638,4.218928132,-99999.0,Texas,Tarrant County,0,0,0,0,TX,Fort Worth,79.5,29.9
