life_expectancy,% 0 Vehicle HH,LILATracts_halfAnd10,Pedestrian Network Density,Employment Density,Walkability,Transit Frequency
79.8,0.113861386,1,21.6378779,1.402666301,14.83333333,21.50620447
77.5,0.0,1,13.31868857,1.424297566,13.16666667,17.26127433
77.1,0.25,1,16.60825013,1.964782848,14.66666667,52.76060575
78.6,0.0,0,19.21847561,1.160224523,9.333333333,-99999.0
72.4,0.062162162,1,13.86056261,1.356871171,9.0,-99999.0
74.8,0.098859316,1,19.21955757,6.950112499,17.5,27.16509684
77.9,0.024489796,0,26.22913321,1.594315478,14.83333333,22.18178056
81.7,0.0,0,8.284844841,0.011976347,5.833333333,-99999.0
78.6,0.0,0,9.606679484,0.088901284,4.166666667,-99999.0
79.5,0.017959184,0,4.218928132,0.252932638,7.5,-99999.0
73.2,0.270557029,0,6.365472142,10.31786655,15.83333333,12.56831634
73.8,0.0,0,9.757386639,0.15702546,5.833333333,-99999.0
75.6,0.0,1,10.21962867,1.622288708,8.166666667,-99999.0
74.7,0.215316315,0,18.89883142,2.109917284,8.333333333,-99999.0
80.2,0.0,0,13.37202295,0.357321062,7.0,-99999.0
76.7,0.086206897,0,13.47546554,3.231326878,8.333333333,-99999.0
83.9,0.0,1,12.02854113,4.809455575,10.83333333,-99999.0
74.7,0.011659193,0,6.689540166,0.802891395,8.0,-99999.0
75.7,0.064343164,1,22.93850974,0.362107341,12.83333333,14.04537563
80.4,0.0,0,26.42359271,3.813896751,13.16666667,8.260216313
72.6,0.0,1,4.635560834,2.166391751,5.833333333,1.294125833
73.5,0.13909224,1,13.35404249,1.601768315,15.16666667,16.23464655
72.1,0.046920821,1,8.444800681,0.662786726,12.16666667,22.73956277
78.1,0.119850187,0,13.15879668,7.553700068,11.0,-99999.0
85.3,0.014325323,0,6.643674869,0.349171698,8.666666667,0.905796435
79.6,0.02004008,0,14.38003201,5.774394275,12.0,-99999.0
79.7,0.042071197,0,7.185925761,11.10895846,8.5,-99999.0
79.7,0.042071197,0,7.185925761,11.10895846,8.5,-99999.0
82.3,0.042259414,0,13.75892084,0.997400605,9.166666667,-99999.0
82.2,0.002401506,0,9.828774924,0.258225616,7.833333333,-99999.0
80.7,0.035714286,0,15.353898,0.206354801,6.833333333,-99999.0
80.3,0.0,0,8.644394494,0.87442237,7.0,-99999.0
81.0,0.010875476,0,5.75570739,0.214329046,7.333333333,-99999.0
80.1,0.033291615,0,19.25083038,1.934856765,11.83333333,-99999.0
79.0,0.024193548,0,10.30412257,12.89262934,10.83333333,-99999.0
77.0,0.13190184,1,17.34309361,4.022939259,9.5,-99999.0
77.0,0.13190184,1,17.34309361,4.022939259,9.5,-99999.0
72.4,0.013333333,1,5.86504972,4.034757756,10.5,3.142251168
79.4,0.064814815,0,6.545280307,1.33471527,5.333333333,-99999.0
76.6,0.014874915,0,3.954178324,0.389617506,7.166666667,-99999.0
72.7,0.091402715,1,15.68272373,3.217633658,11.5,2.611649386
77.0,0.117482517,1,10.64169438,0.605814807,13.0,19.07381491
76.8,0.184073107,0,8.46364188,5.765061112,9.833333333,2.85730071
78.8,0.013306039,1,7.864961773,0.162099748,10.33333333,4.245156902
76.9,0.036639857,0,8.032297292,2.542742532,6.833333333,-99999.0
78.8,0.0,0,11.34401591,0.062761307,5.333333333,-99999.0
75.5,0.009160305,0,15.53190484,0.757605317,8.0,-99999.0
78.7,0.0,0,10.10577059,0.71887352,6.166666667,-99999.0
78.7,0.068126521,1,9.22720698,39.24511256,7.333333333,-99999.0
75.9,0.04,0,8.870167799,2.76311234,7.333333333,-99999.0
81.9,0.053932584,0,8.507582813,0.557671429,7.0,-99999.0
80.7,0.015384615,1,18.12630661,0.838139029,16.33333333,48.86935289
79.8,0.0,0,21.67078582,0.287401064,6.666666667,-99999.0
82.8,0.0,0,14.54452335,1.790280598,8.166666667,-99999.0
80.3,0.0,0,18.15201904,1.169072282,8.5,-99999.0
74.4,0.03926097,1,15.3775488,0.046230089,11.33333333,13.60962001
69.1,0.085106383,1,18.20902961,1.153199915,13.83333333,6.700938503
79.9,0.046979866,0,26.16927467,2.553959517,18.5,22.48829601
73.3,0.132596685,1,14.84025293,0.448113721,14.5,25.21255219
74.4,0.110315186,1,19.25318072,5.418667361,13.5,17.21159311
74.1,0.063414634,1,17.1992635,0.306239698,12.16666667,3.011375031
70.0,0.100217865,0,16.8979359,0.260743197,11.66666667,15.46107547
62.8,0.421203438,0,26.32090256,55.54807593,14.5,22.22694806
74.4,0.102040816,1,15.12451738,22.29578935,12.66666667,16.38057993
68.7,0.11790393,1,11.36441336,0.704361747,11.0,6.373781818
70.4,0.06835443,1,23.3951893,0.159296172,13.0,32.194596
75.6,0.299441341,1,8.074958469,0.43462374,14.16666667,7.436545013
77.9,0.075208914,1,13.84458122,0.617596638,14.83333333,14.08828332
83.5,0.001440507,0,6.290906034,0.152450424,6.5,-99999.0
80.9,0.0,0,18.14557146,0.177624013,12.0,9.666184671
79.6,0.0,0,16.85592315,0.120788368,7.5,-99999.0
79.4,0.0,0,4.074484801,0.093859517,3.833333333,-99999.0
77.4,0.129518072,1,16.44821642,2.038317448,6.833333333,-99999.0
75.4,0.0,1,1.732328417,18.81892574,4.666666667,-99999.0
75.7,0.0,1,17.19277365,17.03388542,11.33333333,-99999.0
85.0,0.0,0,15.78087182,0.61236879,8.666666667,-99999.0
81.0,0.008454106,0,7.299939603,0.081561868,6.833333333,-99999.0
76.3,0.0,0,13.58701371,1.562662997,10.16666667,-99999.0
86.9,0.012160229,0,9.759775105,0.069939433,6.5,-99999.0
79.3,0.02189781,0,17.6250927,0.817157715,8.0,-99999.0
79.4,0.0,0,5.005789893,0.31876283,7.666666667,0.299813172
79.4,0.0,0,6.141894293,0.187523598,4.833333333,-99999.0
80.5,0.0,0,14.94980236,0.280351047,7.166666667,-99999.0
77.7,0.0,0,20.17640863,0.761627938,13.5,27.69556062
74.7,0.035460993,0,17.29243611,0.834548583,8.166666667,-99999.0
75.7,0.162698413,0,27.29131723,0.922244775,15.16666667,57.38166735
75.1,0.009345794,1,11.11579169,0.54793886,10.5,4.605280898
77.6,0.012738854,0,19.58053501,1.417884579,16.16666667,9.144706189
78.7,0.0,1,20.64208704,0.430512365,8.666666667,2.649306862
77.8,0.036719706,1,20.45098153,2.661733019,12.5,2.519983923
68.0,0.114224138,1,13.79445057,1.371558781,12.66666667,10.34571889
73.3,0.0,1,17.47089397,0.144612734,11.83333333,6.855714872
74.6,0.112420671,0,14.13050883,6.499401283,14.5,2.359396949
76.5,0.146788991,0,23.0672522,3.319572528,14.66666667,24.19733961
82.4,0.0,0,15.01135369,0.348345647,6.833333333,-99999.0
80.9,0.020518359,0,11.99844694,7.06618959,9.833333333,-99999.0
74.3,0.053221289,1,14.66220014,0.449340143,11.16666667,11.98240383
80.4,0.0,0,9.02379234,0.151405021,7.333333333,-99999.0
74.6,0.072139303,1,21.80409307,0.511987302,12.66666667,58.81290039
77.7,0.029315961,0,15.78552218,0.031196255,5.333333333,-99999.0
78.8,0.0,0,18.76199824,0.145523044,7.0,-99999.0
80.7,0.021571649,0,19.10069707,0.121694043,6.5,-99999.0
76.9,0.109022556,1,7.803957818,3.855208829,13.83333333,20.64862739
77.6,0.329192547,1,11.29717981,2.517584699,14.16666667,34.81726395
76.8,0.084848485,0,20.36732646,0.585055305,9.333333333,-99999.0
71.7,0.0,1,6.061702836,0.036830048,8.0,1.571415364
81.4,0.009920635,0,2.607022754,0.227129947,3.833333333,-99999.0
77.1,0.008561644,1,9.914761047,0.105335252,10.66666667,1.348291222
77.9,0.015873016,1,10.08790527,0.534467782,9.833333333,42.86659043
79.4,0.049107143,0,11.65260211,0.126801367,6.5,-99999.0
80.2,0.111455108,0,6.518874175,0.637195174,5.833333333,-99999.0
79.2,0.008648649,0,16.71754114,1.006400504,9.833333333,-99999.0
77.6,0.011984021,1,11.77282434,0.816932126,9.5,-99999.0
78.8,0.010834236,0,6.137771844,0.346404868,5.833333333,-99999.0
76.4,0.131034483,1,18.69228976,4.728484843,17.33333333,15.51675931
76.9,0.018284107,1,17.76226741,7.231714472,9.833333333,-99999.0
79.6,0.130695444,1,18.34353403,1.46290472,8.666666667,-99999.0
79.2,0.08907563,0,21.04230134,2.529483257,11.83333333,-99999.0
76.4,0.0,1,15.59449902,1.320028073,12.33333333,31.87992327
72.6,0.026109661,1,16.33603749,3.632713618,12.0,2.719506629
75.9,0.0,0,14.64287203,0.197478544,5.5,-99999.0
75.4,0.013127413,1,19.80340476,11.88617722,10.66666667,-99999.0
79.6,0.024875622,0,22.76380964,0.222932921,7.833333333,-99999.0
80.7,0.0,0,11.80192745,0.313233804,7.666666667,-99999.0
76.0,0.083333333,1,24.79401533,0.265947245,13.83333333,37.81009976
80.3,0.027027027,0,16.49889939,0.663946654,9.5,-99999.0
79.5,0.02991453,1,20.1767869,7.913259152,14.66666667,35.91833941
76.2,0.080118694,1,13.08677953,0.503735107,5.833333333,8.832355602
75.6,0.0,1,18.35645018,1.060111363,14.33333333,7.264921348
76.7,0.0,1,20.50991699,0.163213383,11.16666667,20.17661023
79.1,0.027863777,1,20.5097422,1.382923424,9.666666667,-99999.0
72.5,0.03255814,1,14.92456006,0.166754468,6.833333333,-99999.0
80.0,0.0,1,22.09408685,0.342439054,12.33333333,36.52683077
76.1,0.0,0,18.6875064,0.012202534,11.16666667,12.29106797
73.1,0.0,1,8.522760308,1.966572077,12.5,9.271499993
76.7,0.034416826,1,21.17527183,0.432892599,13.5,12.31338947
77.2,0.028192371,0,5.506571411,0.092161009,5.0,-99999.0
78.0,0.0,0,17.40055517,0.090304745,8.166666667,-99999.0
74.4,0.239616613,0,8.949699991,0.140629933,12.5,17.65512109
72.2,0.256944444,1,12.49039417,1.954743369,17.83333333,24.77298531
75.4,0.0,0,6.354685687,22.46748467,7.833333333,-99999.0
76.2,0.046321526,0,15.28973128,0.349671383,6.333333333,-99999.0
74.8,0.446153846,0,21.15100752,1.550913028,15.0,49.01650761
