StateAbbr,County,Census Tract Number,Obesity
AL,Birmingham,100,46.4
AL,Birmingham,300,47.8
AL,Birmingham,400,45.7
AL,Birmingham,500,48.0
AL,Birmingham,700,52.7
AL,Birmingham,800,48.2
AL,Birmingham,1100,42.3
AL,Birmingham,1200,44.4
AL,Birmingham,1400,43.1
AL,Birmingham,1500,48.0
AL,Birmingham,1600,45.8
AL,Birmingham,1902,48.6
AL,Birmingham,2000,48.1
AL,Birmingham,2100,44.5
AL,Birmingham,2200,45.1
AL,Birmingham,2303,49.4
AL,Birmingham,2305,31.5
AL,Birmingham,2306,28.0
AL,Birmingham,2400,44.4
AL,Birmingham,2700,42.9
AL,Birmingham,2900,48.7
AL,Birmingham,3001,36.3
AL,Birmingham,3002,49.2
AL,Birmingham,3100,48.3
AL,Birmingham,3200,52.4
AL,Birmingham,3300,46.3
AL,Birmingham,3400,49.8
AL,Birmingham,3500,42.7
AL,Birmingham,3600,43.4
AL,Birmingham,3700,49.3
AL,Birmingham,3802,47.7
AL,Birmingham,3803,46.1
AL,Birmingham,3900,46.5
AL,Birmingham,4000,48.3
AL,Birmingham,4200,49.5
AL,Birmingham,4500,34.0
AL,Birmingham,4701,26.0
AL,Birmingham,4702,27.1
AL,Birmingham,4800,27.1
AL,Birmingham,4901,29.4
AL,Birmingham,4902,31.6
AL,Birmingham,5000,31.1
AL,Birmingham,5101,52.7
AL,Birmingham,5103,42.1
AL,Birmingham,5104,38.8
AL,Birmingham,5200,46.5
AL,Birmingham,5302,34.7
AL,Birmingham,5500,49.4
AL,Birmingham,5600,28.2
AL,Birmingham,5701,46.0
AL,Birmingham,5702,46.3
AL,Birmingham,5800,35.0
AL,Birmingham,5903,38.3
AL,Birmingham,5905,42.9
AL,Birmingham,5907,37.4
AL,Birmingham,5908,43.0
AL,Birmingham,5909,40.4
AL,Birmingham,5910,40.8
AL,Birmingham,10500,49.9
AL,Birmingham,10701,35.2
AL,Birmingham,10706,24.3
AL,Birmingham,10801,26.0
AL,Birmingham,10802,22.7
AL,Birmingham,10803,30.5
AL,Birmingham,10805,35.2
AL,Birmingham,11104,38.2
AL,Birmingham,11207,40.9
AL,Birmingham,11209,44.3
AL,Birmingham,11210,44.9
AL,Birmingham,11803,42.6
AL,Birmingham,11804,43.2
AL,Birmingham,11904,42.3
AL,Birmingham,12001,35.3
AL,Birmingham,12302,30.8
AL,Birmingham,12305,40.0
AL,Birmingham,12401,40.6
AL,Birmingham,12402,38.5
AL,Birmingham,12500,45.9
AL,Birmingham,12602,39.8
AL,Birmingham,12703,26.0
AL,Birmingham,12704,27.7
AL,Birmingham,12803,22.5
AL,Birmingham,13002,46.0
AL,Birmingham,13100,46.0
AL,Birmingham,13300,47.3
AL,Birmingham,13901,40.6
AL,Birmingham,14302,30.7
AL,Birmingham,14413,21.7
AL,Birmingham,30213,29.9
AL,Birmingham,30303,29.4
AL,Hoover,12906,30.4
AL,Hoover,12907,28.7
AL,Hoover,12908,30.1
AL,Hoover,12910,27.5
AL,Hoover,12912,33.7
AL,Hoover,12913,33.5
AL,Hoover,14203,30.2
AL,Hoover,14204,28.7
AL,Hoover,14302,28.3
AL,Hoover,14404,25.6
AL,Hoover,14405,29.4
AL,Hoover,14406,25.5
AL,Hoover,14408,26.0
AL,Hoover,14409,25.6
AL,Hoover,14410,27.4
AL,Hoover,14412,26.2
AL,Hoover,14413,25.7
AL,Hoover,30212,33.6
AL,Hoover,30216,30.1
AL,Hoover,30217,30.2
AL,Hoover,30303,30.4
AL,Hoover,30304,30.3
