StateAbbr,County,Census Tract Number,Obesity
AL,Birmingham,1073000100,46.4
AL,Birmingham,1073000300,47.8
AL,Birmingham,1073000400,45.7
AL,Birmingham,1073000500,48.0
AL,Birmingham,1073000700,52.7
AL,Birmingham,1073000800,48.2
AL,Birmingham,1073001100,42.3
AL,Birmingham,1073001200,44.4
AL,Birmingham,1073001400,43.1
AL,Birmingham,1073001500,48.0
AL,Birmingham,1073001600,45.8
AL,Birmingham,1073001902,48.6
AL,Birmingham,1073002000,48.1
AL,Birmingham,1073002100,44.5
AL,Birmingham,1073002200,45.1
AL,Birmingham,1073002303,49.4
AL,Birmingham,1073002305,31.5
AL,Birmingham,1073002306,28.0
AL,Birmingham,1073002400,44.4
AL,Birmingham,1073002700,42.9
AL,Birmingham,1073002900,48.7
AL,Birmingham,1073003001,36.3
AL,Birmingham,1073003002,49.2
AL,Birmingham,1073003100,48.3
AL,Birmingham,1073003200,52.4
AL,Birmingham,1073003300,46.3
AL,Birmingham,1073003400,49.8
AL,Birmingham,1073003500,42.7
AL,Birmingham,1073003600,43.4
AL,Birmingham,1073003700,49.3
AL,Birmingham,1073003802,47.7
AL,Birmingham,1073003803,46.1
AL,Birmingham,1073003900,46.5
AL,Birmingham,1073004000,48.3
AL,Birmingham,1073004200,49.5
AL,Birmingham,1073004500,34.0
AL,Birmingham,1073004701,26.0
AL,Birmingham,1073004702,27.1
AL,Birmingham,1073004800,27.1
AL,Birmingham,1073004901,29.4
AL,Birmingham,1073004902,31.6
AL,Birmingham,1073005000,31.1
AL,Birmingham,1073005101,52.7
AL,Birmingham,1073005103,42.1
AL,Birmingham,1073005104,38.8
AL,Birmingham,1073005200,46.5
AL,Birmingham,1073005302,34.7
AL,Birmingham,1073005500,49.4
AL,Birmingham,1073005600,28.2
AL,Birmingham,1073005701,46.0
AL,Birmingham,1073005702,46.3
AL,Birmingham,1073005800,35.0
AL,Birmingham,1073005903,38.3
AL,Birmingham,1073005905,42.9
AL,Birmingham,1073005907,37.4
AL,Birmingham,1073005908,43.0
AL,Birmingham,1073005909,40.4
AL,Birmingham,1073005910,40.8
AL,Birmingham,1073010500,49.9
AL,Birmingham,1073010701,35.2
AL,Birmingham,1073010706,24.3
AL,Birmingham,1073010801,26.0
AL,Birmingham,1073010802,22.7
AL,Birmingham,1073010803,30.5
AL,Birmingham,1073010805,35.2
AL,Birmingham,1073011104,38.2
AL,Birmingham,1073011207,40.9
AL,Birmingham,1073011209,44.3
AL,Birmingham,1073011210,44.9
AL,Birmingham,1073011803,42.6
AL,Birmingham,1073011804,43.2
AL,Birmingham,1073011904,42.3
AL,Birmingham,1073012001,35.3
AL,Birmingham,1073012302,30.8
AL,Birmingham,1073012305,40.0
AL,Birmingham,1073012401,40.6
AL,Birmingham,1073012402,38.5
AL,Birmingham,1073012500,45.9
AL,Birmingham,1073012602,39.8
AL,Birmingham,1073012703,26.0
AL,Birmingham,1073012704,27.7
AL,Birmingham,1073012803,22.5
AL,Birmingham,1073013002,46.0
AL,Birmingham,1073013100,46.0
AL,Birmingham,1073013300,47.3
AL,Birmingham,1073013901,40.6
AL,Birmingham,1073014302,30.7
AL,Birmingham,1073014413,21.7
AL,Birmingham,1117030213,29.9
AL,Birmingham,1117030303,29.4
AL,Hoover,1073012906,30.4
AL,Hoover,1073012907,28.7
AL,Hoover,1073012908,30.1
AL,Hoover,1073012910,27.5
AL,Hoover,1073012912,33.7
AL,Hoover,1073012913,33.5
AL,Hoover,1073014203,30.2
AL,Hoover,1073014204,28.7
AL,Hoover,1073014302,28.3
AL,Hoover,1073014404,25.6
AL,Hoover,1073014405,29.4
AL,Hoover,1073014406,25.5
AL,Hoover,1073014408,26.0
AL,Hoover,1073014409,25.6
AL,Hoover,1073014410,27.4
AL,Hoover,1073014412,26.2
AL,Hoover,1073014413,25.7
AL,Hoover,1117030212,33.6
